Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Don Adams\adamsdo01,SF,27,SSL,16,,21.4,2.6,6.1,.429,0.0,0.1,.000,2.6,6.1,.433,.429,1.1,1.4,.773,1.3,2.9,4.3,3.4,0.8,0.1,1.7,2.4,6.3
2,George Adams\adamsge01,SF,25,SDA,75,,21.4,4.1,8.3,.498,0.0,0.0,.333,4.1,8.3,.499,.499,1.0,1.1,.849,1.5,2.8,4.4,1.7,0.6,0.5,1.4,2.2,9.3
3,Bird Averitt\averibi01,SG,22,KEN,84,,24.2,5.0,12.1,.416,0.1,0.6,.149,4.9,11.5,.429,.420,3.0,3.8,.778,0.6,1.6,2.2,3.8,1.0,0.2,2.8,2.5,13.1
4,Marvin Barnes\barnema01,PF,22,SSL,77,,39.9,10.1,20.3,.498,0.0,0.0,.000,10.1,20.2,.499,.498,3.8,5.7,.670,5.4,10.2,15.6,3.2,1.2,1.8,4.0,4.3,24.0
5,Mike Barr\barrmi01,SG,24,SSL,54,,24.8,2.5,5.0,.506,0.0,0.0,.000,2.5,4.9,.509,.506,0.5,0.8,.683,0.4,1.4,1.8,3.3,1.2,0.3,1.9,2.2,5.6
6,Tim Bassett\basseti01,PF,23,SDA,72,,27.8,3.4,7.2,.471,0.0,0.1,.750,3.3,7.1,.469,.474,1.1,2.0,.562,2.9,4.4,7.3,1.6,0.6,0.5,1.3,2.2,8.0
7,Lloyd Batts\battsll01,SG,23,VIR,58,,22.7,4.3,11.7,.366,0.7,2.5,.286,3.6,9.2,.388,.397,1.0,1.6,.617,1.2,2.2,3.4,1.8,1.3,0.1,1.5,1.8,10.3
8,Byron Beck\beckby01,PF,30,DNA,84,,21.6,4.6,8.9,.515,0.0,0.0,.000,4.6,8.9,.516,.515,1.0,1.2,.835,1.5,2.6,4.1,1.3,0.7,0.2,0.9,3.2,10.1
9,Lionel Billingy\billili01,PF,22,VIR,46,,22.2,3.3,7.6,.427,0.0,0.0,.000,3.3,7.6,.430,.427,2.0,3.1,.650,2.3,3.8,6.1,1.1,0.9,0.2,2.7,2.4,8.5
10,Ron Boone\boonero01,SG,28,UTS,84,,40.6,10.4,21.1,.491,0.1,0.4,.303,10.3,20.8,.495,.494,4.3,5.0,.860,1.7,3.2,4.8,4.4,1.5,0.4,4.0,3.2,25.2
11,Jim Bradley\bradlji01,PF,22,KEN,56,,16.5,2.6,5.8,.440,0.0,0.1,.000,2.6,5.8,.446,.440,1.4,1.8,.738,1.8,3.3,5.1,1.2,0.5,0.5,1.3,2.0,6.5
12,Roger Brown*\brownro01,SF,32,TOT,56,,22.7,3.2,7.5,.430,0.6,1.8,.350,2.6,5.7,.455,.471,1.6,2.0,.781,1.0,2.1,3.1,2.0,0.8,0.4,1.7,1.8,8.7
